"Закупки по";"Реестровый номер закупки";"Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки)";"Наименование закупки";"Предмет электронного аукциона (только для ПП РФ 615)";"Идентификационный код закупки";"Номер лота";"Наименование лота";"Начальная (максимальная) цена контракта";"Валюта";"Начальная (максимальная) цена в валюте контракта";"Валюта контракта";"Классификация по ОКДП";"Классификация по ОКПД";"Классификация по ОКПД2";"Код позиции";"Наименование Заказчика";"Организация, осуществляющая размещение";"Дата размещения";"Дата обновления";"Этап закупки";"Особенности размещения заказа\ Преимущества (44-ФЗ)";"Дата начала подачи заявок";"Дата окончания подачи заявок";"Дата проведения электронного аукциона";"Дата и время_1";"Событие_1";"Дата и время_2";"Событие_2";"Дата и время_3";"Событие_3";"Дата и время_4";"Событие_4";"Дата и время_5";"Событие_5";"Дата и время_6";"Событие_6";"Дата и время_7";"Событие_7";"Дата и время_8";"Событие_8";"Дата и время_9";"Событие_9";"Дата и время_10";"Событие_10";"Дата и время_11";"Событие_11";"Дата и время_12";"Событие_12";"Дата и время_13";"Событие_13";"Дата и время_14";"Событие_14";"Дата и время_15";"Событие_15"
"44-ФЗ";"№32514760195";"Электронный аукцион";"Оказание услуг финансовой аренды (лизинга) специализированной техники - несамоходного мелкосидящего земснаряда с гидравлическим рыхлением сборно-разборного типа для нужд ФБУ ""Администрация Ленского бассейна""";"";"'241143503369114350100103552907734244'";"";"";"942129767";"RUB";"";"";"";"";"77.34.10.000: Услуги по аренде и лизингу водных транспортных средств";"77.34.10.000: Услуги по аренде и лизингу водных транспортных средств";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ЛЕНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ЛЕНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"03.07.2024";"26.07.2024";"Подача заявок";"";"";"05.08.2024";"";"30.04.2025 08:11 (МСК)";"Размещен протокол № 32514760195-02 «Итоговый протокол запроса котировок в электронной форме ».Извещение о закупке (приглашение): № 32514760195 «0517*Поставка байдарок».Способ закупки: Запрос котировок в электронной форме.Заказчик: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".Организация, разместившая сведения: БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ          ""АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК ВОРОНЕЖСКОЙ     ОБЛАСТИ"".";"30.04.2025 08:11 (МСК)";"Закупка переведена на этап «Размещение завершено» с этапа «Работа комиссии»";"30.04.2025 08:11 (МСК)";"Размещен протокол № 32514760195-01 «Протокол рассмотрения и оценки заявок на участие в запросе котировок в электронной форме ».Извещение о закупке (приглашение): № 32514760195 «0517*Поставка байдарок».Способ закупки: Запрос котировок в электронной форме.Заказчик: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".Организация, разместившая сведения: БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ          ""АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК ВОРОНЕЖСКОЙ     ОБЛАСТИ"".";"28.04.2025 10:11 (МСК)";"Закупка переведена на этап «Работа комиссии» с этапа «Подача заявок»";"18.04.2025 08:28 (МСК)";"Закупка переведена на этап «Подача заявок» с этапа «Формирование извещения(приглашения)»";"18.04.2025 08:28 (МСК)";"Размещено извещение о закупке (приглашение) № 32514760195 «0517*Поставка байдарок».Способ закупки: Запрос котировок в электронной форме.Заказчик: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".Организация, разместившая сведения: БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ          ""АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК ВОРОНЕЖСКОЙ     ОБЛАСТИ"".";"02.06.2025 17:28 (МСК)";"Договор «53665078958250000480000» переведен в статус «Исполнение завершено».";"02.06.2025 17:28 (МСК)";"Размещены сведения об исполнении договора «53665078958250000480000». Номер сведений об исполнении: 53665078958250000480006. Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".";"29.05.2025 14:10 (МСК)";"Размещены сведения об исполнении договора «53665078958250000480000». Номер сведений об исполнении: 53665078958250000480004. Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".";"12.05.2025 10:56 (МСК)";"Договор «53665078958250000480000» переведен в статус «Исполнение».";"12.05.2025 10:56 (МСК)";"Размещен договор «53665078958250000480000». Заказчик: ГАНОУ ВО ""РЕГИОНАЛЬНЫЙ ЦЕНТР ""ОРИОН"". Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВОРОНЕЖСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ВЫЯВЛЕНИЯ, ПОДДЕРЖКИ И РАЗВИТИЯ СПОСОБНОСТЕЙ И ТАЛАНТОВ У ДЕТЕЙ И МОЛОДЕЖИ ""ОРИОН"".";"26.12.2024 09:51(МСК)";"Размещена информация об изменении заключенного контракта№ 26452111028 24 000046 0005.";"26.12.2024 08:58(МСК)";"Информация об изменении контракта № 2645211102824000046 от 23.12.2024 без указания нового заказчика загружена из внешней системы.Заказчик: ИНН 6452111028, КПП 645201001 МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ.Дата события: 26.12.2024.";"24.12.2024 15:07(МСК)";"Размещена информация о заключенном контракте№ 26452111028 24 000046 0001.";"24.12.2024 14:24(МСК)";"Информация о заключенном контракте № Номер реестровой записи будет присвоен после размещения сведений от 23.12.2024 загружена из внешней системы.Заказчик: ИНН 6452111028, КПП 645201001 МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА САРАТОВСКОЙ ОБЛАСТИ.Дата события: 24.12.2024."
"";"№32514666637";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"05.05.2025 19:11 (МСК+2)";"Договор «56652016477250000090000» переведен в статус «Исполнение завершено».";"05.05.2025 19:11 (МСК+2)";"Размещены сведения об исполнении договора «56652016477250000090000». Номер сведений об исполнении: 56652016477250000090005. Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ИМ. Я.И. РЫЖКОВА"".";"04.05.2025 12:53 (МСК+2)";"Размещены сведения об исполнении договора «56652016477250000090000». Номер сведений об исполнении: 56652016477250000090003. Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ИМ. Я.И. РЫЖКОВА"".";"23.04.2025 20:18 (МСК+2)";"Договор «56652016477250000090000» переведен в статус «Исполнение».";"23.04.2025 20:18 (МСК+2)";"Размещен договор «56652016477250000090000». Заказчик: ГАУ ДО СО СШОР ИМ. Я.И. РЫЖКОВА. Организация, разместившая сведения: ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ИМ. Я.И. РЫЖКОВА"".";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
